"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","880","TC-API-03 Get Account By ID","chromium","2026-06-12","passed","2026-06-12","","api\getAccountById.spec.ts","",""
"","3717","TC-E2E-02 Transfer Funds via UI and Validate via API","chromium","2026-06-12","passed","2026-06-12","","e2e\transferFundsAndValidateApi.spec.ts","",""
"","5946","TC-AC-UI-01 Create Checking Account","chromium","2026-06-12","passed","2026-06-12","","ui\createCheckingAccount.spec.ts","",""
"","3589","TC-UCI-UI-01 Update Contact Information","chromium","2026-06-12","passed","2026-06-12","","ui\updateContactInfo.spec.ts","",""
"","596","TC-API-02 Validate Account Type","chromium","2026-06-12","passed","2026-06-12","","api\accountTypeValidation.spec.ts","",""
"","3022","TC-AO-UI-01 Verify Account Overview","chromium","2026-06-12","passed","2026-06-12","","ui\accountOverview.spec.ts","",""
"","2993","TC-TF-UI-01 Transfer Funds","chromium","2026-06-12","passed","2026-06-12","","ui\transferFunds.spec.ts","",""
"","3554","TC-RL-UI-01 Request Loan","chromium","2026-06-12","passed","2026-06-12","","ui\requestLoan.spec.ts","",""
"","1124","TC-API-05 Validate Account Transactions API","chromium","2026-06-12","passed","2026-06-12","","api\accountTransactions.spec.ts","",""
"","632","TC-API-01 Get Accounts List","chromium","2026-06-12","passed","2026-06-12","","api\getAccountsList.spec.ts","",""
"","318","TC-API-NEG-01 Invalid Account Lookup","chromium","2026-06-12","passed","2026-06-12","","api\negativeAccLookup.spec.ts","",""
"","2927","TC-AC-UI-02 Create Savings Account","chromium","2026-06-12","passed","2026-06-12","","ui\createSavingsAccount.spec.ts","",""
"","864","TC-API-04 Validate Account Response Schema","chromium","2026-06-12","passed","2026-06-12","","api\schemaValidation.spec.ts","",""
"","0","Registration","chromium","2026-06-12","skipped","2026-06-12","","ui\registration.spec.ts","",""
"","5417","TC-E2E-01 Create Account via UI and Validate via API","chromium","2026-06-12","passed","2026-06-12","","e2e\createAccandValidateAPI.spec.ts","",""
"","2484","Valid Login with Correct Credentials","chromium","2026-06-12","passed","2026-06-12","TC-LOGIN-01","ui\login.spec.ts","",""
